isin,ticker,name
SE0000106270,HMSB,HENNES + MAURITZ B SK-125
IE0008471009,EUN2,ISHSII-EURO STOXX50 EODIS
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01"
US83304A1060,1SI,"SNAP INC. CL.A DL-,00001"
CA26154A1066,DRG,DREAM GL.REAL EST.I.TR.U.
DE000A2DAN10,SFD1,SOFTLINE AG  O.N.
DE0005634000,ESY,EASY SOFTWARE AG
DE0007448508,IVU,IVU TRAFFIC TECHN.AG O.N.
DK0060448595,CBHD,COLOPLAST NAM. B    DK 1
FR0000120321,LOR,"OREAL (L') INH.    EO 0,2"
FR0007063177,LYMS,LYX.NASDAQ-100 U.ETF DEO
IE00B2NPKV68,IUS7,ISHSII-JPM DL EM BD DLDIS
